Code;Libellé;Emplois, total 2021;Population résidante 2022;Densité d'habitants 2021
01001;L'Abergement-Clémenciat;68;859;52.2
01002;L'Abergement-de-Varey;25;273;29.2
01004;Ambérieu-en-Bugey;7859;15554;603.8
01005;Ambérieux-en-Dombes;350;1917;119.2
01006;Ambléon;N/A - secret statistique;114;19.2
01007;Ambronay;522;2828;84.4
01008;Ambutrix;107;764;147.1
01009;Andert-et-Condon;5;335;46.4
01010;Anglefort;265;1150;38.4
01011;Apremont;49;399;26.3
01012;Aranc;41;329;15.1
01013;Arandas;10;140;10
01014;Arbent;2206;3482;145.1
01015;Arboys en Bugey;52;688;29.7
01016;Arbigny;51;459;26.3
01017;Argis;39;420;55.1
01019;Armix;N/A - secret statistique;25;3.8
01021;Ars-sur-Formans;321;1513;272.4
01022;Artemare;352;1141;313.9
01023;Asnières-sur-Saône;35;77;16.5
01024;Attignat;1066;3372;178.5
01025;Bâgé-Dommartin;749;4057;71.5
01026;Bâgé-le-Châtel;279;987;1112.5
01027;Balan;1814;2878;149.2
01028;Baneins;72;618;69.7
01029;Beaupont;223;717;49.8
01030;Beauregard;65;826;883
01031;Bellignat;2130;3581;464.4
01032;Béligneux;1438;3484;258.2
01033;Valserhône;5915;16162;260.6
01034;Belley;6267;9270;412.1
01035;Belleydoux;27;306;17.4
01036;Valromey-sur-Séran;119;1350;23.7
01037;Bénonces;50;311;20.2
01038;Bény;75;769;41.9
01040;Béréziat;30;481;44.3
01041;Bettant;51;762;222.3
01042;Bey;16;290;104.7
01043;Beynost;3791;4936;458.4
01044;Billiat;42;669;45.7
01045;Birieux;60;280;17.9
01046;Biziat;129;897;79.4
01047;Blyes;851;1351;138.6
01049;La Boisse;1076;3401;357.6
01050;Boissey;57;390;42.7
01051;Bolozon;14;99;19.3
01052;Bouligneux;65;323;12.5
01053;Bourg-en-Bresse;32998;42065;1740.4
01054;Bourg-Saint-Christophe;127;1540;168.9
01056;Boyeux-Saint-Jérôme;34;362;21
01057;Boz;112;509;69.8
01058;Brégnier-Cordon;360;812;74.4
01060;Brénod;121;547;21.8
01061;Brens;94;1117;163.6
01062;Bressolles;236;1003;126.5
01063;Brion;392;591;128.6
01064;Briord;648;1102;89.4
01065;Buellas;246;1884;181.3
01066;La Burbanche;0;97;8.8
01067;Ceignes;90;263;26.1
01068;Cerdon;105;755;61.9
01069;Certines;458;1518;94.5
01071;Cessy;1020;5570;830.5
01072;Ceyzériat;1256;3306;351
